"Position","Company","Posting_Text","Link","Term"
"Data Analyst","CareDash","","https://www.indeed.com/rc/clk?jk=e2e22ab528716f23&fccid=573fa758d47d10dd&vjs=3","data+analyst+R"
"Research Analyst (Data)","MIT","Working at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity.
RESEARCH ANALYST (DATA), Abdul Latif Jameel Poverty Action Lab (J-PAL) (multiple openings), to work closely with and support the research of an MIT faculty member, largely in the area of data analysis. Will work hand-in-hand with faculty members to clean and analyze data collected from the field. Responsibilities include working with data sets, preparing and running code for data cleaning and analysis; coding in STATA or R; assisting faculty with literature reviews; liaising with field staff running evaluations; providing input into technical aspects of project reports for funders; assisting with technical aspects of new and renewal applications to Institutional Review Boards (IRB) and replying to questions from J-PAL administrative staff working on IRB issues; providing input as appropriate into academic papers; preparing data for publication and publishing in publicly-accessible repositories; supervising undergraduate interns who may assist with the PI’s project; and performing other tasks as assigned. The typical research analyst is considering future graduate study in economics.
Job Requirements
REQUIRED: bachelor’s degree that includes significant training in economics and coursework in statistics, mathematics, and econometrics; hands-on experience with Stata or similar statistical package; experience working with large data sets; good oral and written communication skills; ability to handle several different projects/tasks simultaneously, successfully complete assigned tasks, and meet deadlines; self-motivation and willingness to learn. Formal post-undergraduate professional experience is not required. Job #16658
There may be occasional travel to research field site.
A full job description and additional application instructions are available at https://www.povertyactionlab.org/careers/general-data-research-associate-102715.
Start date: June to September of 2019.","https://www.indeed.com/rc/clk?jk=6debfebf9d376f5e&fccid=71cf745ec1b3aae4&vjs=3","data+analyst+R"
"Health Policy Analyst","Center For Health Information And Analysis","The mission of the Center for Health Information and Analysis (CHIA) is to be the agency of record for Massachusetts health care information, to responsibly steward sensitive and confidential data, and to objectively report reliable and meaningful information about the quality, affordability, utilization, access, and outcomes of the Commonwealth’s health care system.
CHIA is seeking a Health Policy Analyst to join a motivated team of talented analysts focused on cutting-edge health care analytics. A successful candidate will be a detailed-oriented analyst who is eager to learn and utilize large data sets, develop analytic methodologies, and produce policy-relevant products.
S/he will be an experienced health policy analyst with experience in data analysis methods (e.g. descriptive statistics) and tools (e.g. Excel and SAS). The primary responsibilities of the Health Policy Analyst will be to support the data collection, analysis, and reporting of aggregate-level health care finance and insurance cost and coverage metrics. There will also be opportunities for the analyst to collaborate with other teams internally on provider financial performance and quality measurement.
This position will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days. The full time salary range for this position is $57,245.50- $81,952.52 annually.
Specifically, the Health Policy Analyst will:
Preferred Qualifications
Qualifications:
Applicant must have at least (A) Three years of full-time, or equivalent part-time professional experience in Business Administration, health care planning or administration, public health policy or administration, health care planning or administration, public health policy or administration, human services policy analysis or administration or economics, the major duties of which included financial analysis of costs, expenses and revenue and/or the development, implementation and monitoring of financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.
SUBSTITUTIONS:
I. A Bachelor's degree with a major in public health, health services research, statistics, public policy, or economics may be substituted for a maximum of two years of the required experience.*
II. A Master’s degree or higher with a major in public health, health services research, statistics, public policy, public administration, or economics may be substituted for a maximum of three years of the required experience.*
Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
BARGAINING UNIT: 06 NAGE, Reimbursement Systems Analyst II
CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.
In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.
SPECIAL REQUIREMENTS: None.","https://www.indeed.com/rc/clk?jk=7ebc0e47323ab811&fccid=7465094da85cc688&vjs=3","data+analyst+R"
"Data Analyst","LevelUp","","https://www.indeed.com/rc/clk?jk=aa2914267222d21c&fccid=57b8410d77e65df7&vjs=3","data+analyst+R"
"Language Data Specialist - Portuguese","Amazon.com","","https://www.indeed.com/rc/clk?jk=83dfadc2ebc94b9c&fccid=fe2d21eef233e94a&vjs=3","data+analyst+R"
"Data Analyst / Quantitative Data Analyst","Hopjump","","https://www.indeed.com/rc/clk?jk=1c1070b7f628167a&fccid=30c994b6c2f39768&vjs=3","data+analyst+R"
"Data Analyst","nference","PLEASE NOTE: RESUMES WITHOUT A COVER LETTER OR STATEMENT OF INTEREST WILL NOT BE CONSIDEREDRequirements:
Responsibilities:
The Company:
Powered by its artificial intelligence software platform, the nference mission is to synthesize the world’s exponentially growing biomedical knowledge. nference is making biomedical knowledge computable, and building its AI platform to serve as the connective fabric for various silos of information that exist across health care enterprises. Founded by Murali Aravamudan and Venky Soundararajan, Ph.D., nference is led by a multidisciplinary team of serial entrepreneurs from the tech and biotech worlds and Ph.D’s in Biology/Genomics from Massachusetts Institute of Technology (MIT) and Harvard Medical School. The investors in nference are Matrix Partners and Matrix Capital Management.
nference is conveniently located in Kendall Square, Cambridge – just steps away from the MBTA Red Line station. (www.nference.ai)
Position includes competitive sick/vacation/holiday package, equity, health, dental and 401k plan. Please include salary requirements when applying for this position. Email response only. nference will only respond to candidates selected for further consideration. nference, inc. is an equal opportunity employer.","https://www.indeed.com/rc/clk?jk=6bb47f46d1de31e3&fccid=f3aee6761ce9b6ff&vjs=3","data+analyst+R"
"Data Analyst, Development Research","Dana-Farber Cancer Institute","","https://www.indeed.com/rc/clk?jk=2cf49c5c7f0e4765&fccid=31a15643b156b0a5&vjs=3","data+analyst+R"
"Data Analyst","Cambridge Systematics, Inc.","
Cambridge Systematics, Inc. is shaping the future of transportation. We are industry leaders, transportation specialists dedicated to ensuring that transportation investments can deliver the best possible results. By providing innovative policy and planning solutions, objective analyses and technology applications, we help our clients anticipate and meet future transportation needs while improving the performance of existing infrastructure and operations. Above all, we are committed to our clients’ success in making transportation better for future generations.
The Modeling or Travel Demand Forecasting (TDF) business line works to research, develop, and apply innovative and practical decision support tools, including transportation models. Our practice is built on a foundation of expert skills, quality assurance, customer service, and effective teamwork. We successfully leverage a variety of planning, engineering, market research, statistical analysis, visualization, and software development and application techniques to provide insights into existing conditions and problems, forecast alternative outcomes, and explain complex traveler (and consumer) behavior mechanisms.
We are looking to add a Data Analyst to the team in Medford. The Data Analyst will work closely with travel demand modelers and transportation planners to implement, update, run and report the results of transportation models, as well as to analyze and communicate information from transportation data. Specifically, the Data Analyst will work to create, update and enhance transportation networks representing highway and transit conditions, as well as zonal systems that represent the location of population and employment in an area. S/he will also maintain and develop scripts that run transportation models in both specialized and open-source software platforms. The Data Analyst will initiate, oversee, troubleshoot and report model runs, and organize, analyze and interpret transportation data sets.Essential Duties and ResponsibilitiesProject Delivery
•Produces and delivers exceptional quality work that is thorough, polished, and reflects well on CS. •Delivers all projects on-time, on-budget, and to the client’s satisfaction •Possesses the technical skill necessary to deliver project assignments effectively and efficiently •Takes full ownership of all assignments, regardless of task at hand; takes a proactive approach to completing assignments. •Consistently and effectively manages time and workload. •Demonstrates good judgment in determining when to work independently and when to seek assistance. •Provides exceptional value-added service to clients (internal and external) •Strives to develop long-lasting client relationships •Actively listens and seeks to understand client needs •Maintains chargeability expectations
EOE AA M/F/VET/DISABILITY
Bachelor’s degree required
Experience with Python and/or RPreferred Qualifications
Experience with C# and/or Java
Familiarity with open-source software
Experience using GitHub repositories","https://www.indeed.com/rc/clk?jk=b9a7afff2503dca2&fccid=92faacfaa81f28fc&vjs=3","data+analyst+R"
"Principal Data Analyst","UnitedHealth Group","","https://www.indeed.com/rc/clk?jk=9658033cc251215b&fccid=d3d3520998346837&vjs=3","data+analyst+R"
"Product Data Analyst","CarGurus","","https://www.indeed.com/rc/clk?jk=41b8085f5d89beda&fccid=e631af507c24575a&vjs=3","data+analyst+R"
"Senior Data Analyst, Life Sciences","UnitedHealth Group","","https://www.indeed.com/rc/clk?jk=2da4d472fecd7ccb&fccid=d3d3520998346837&vjs=3","data+analyst+R"
"Health Policy Analyst","Center For Health Information And Analysis","The mission of the Center for Health Information and Analysis (CHIA) is to be the agency of record for Massachusetts health care information, to responsibly steward sensitive and confidential data, and to objectively report reliable and meaningful information about the quality, affordability, utilization, access, and outcomes of the Commonwealth’s health care system.
CHIA is seeking a Health Policy Analyst to join a motivated team of talented analysts focused on cutting-edge health care analytics. A successful candidate will be a detailed-oriented analyst who is eager to learn and utilize large data sets, develop analytic methodologies, and produce policy-relevant products.
S/he will be an experienced health policy analyst with experience in data analysis methods (e.g. descriptive statistics) and tools (e.g. Excel and SAS). The primary responsibilities of the Health Policy Analyst will be to support the data collection, analysis, and reporting of aggregate-level health care finance and insurance cost and coverage metrics. There will also be opportunities for the analyst to collaborate with other teams internally on provider financial performance and quality measurement.
This position will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days. The full time salary range for this position is $57,245.50- $81,952.52 annually.
Specifically, the Health Policy Analyst will:
Preferred Qualifications
Qualifications:
Applicant must have at least (A) Three years of full-time, or equivalent part-time professional experience in Business Administration, health care planning or administration, public health policy or administration, health care planning or administration, public health policy or administration, human services policy analysis or administration or economics, the major duties of which included financial analysis of costs, expenses and revenue and/or the development, implementation and monitoring of financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.
SUBSTITUTIONS:
I. A Bachelor's degree with a major in public health, health services research, statistics, public policy, or economics may be substituted for a maximum of two years of the required experience.*
II. A Master’s degree or higher with a major in public health, health services research, statistics, public policy, public administration, or economics may be substituted for a maximum of three years of the required experience.*
Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
BARGAINING UNIT: 06 NAGE, Reimbursement Systems Analyst II
CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.
In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.
SPECIAL REQUIREMENTS: None.","https://www.indeed.com/rc/clk?jk=7ebc0e47323ab811&fccid=7465094da85cc688&vjs=3","data+analyst+R"
"People Analyst","HubSpot","","https://www.indeed.com/rc/clk?jk=f906f8648a3f0eae&fccid=21bb811abc2058c6&vjs=3","data+analyst+R"
"Research Analyst","Center For Health Information And Analysis","The mission of the Center for Health Information and Analysis (CHIA) is to monitor the Massachusetts health care system and to provide reliable information and meaningful analysis for those seeking to improve the health care system. CHIA also acts as a principal repository for health care data collected by the state and is responsible for key data assets such as the Massachusetts All-Payer Claims Database and the Massachusetts Acute Hospital Case Mix Databases.
CHIA is seeking a Research Analyst to join its Health System Performance Research Team. The Analyst will provide analytical and programming support for projects undertaken by the Research Team on access, affordability, utilization, and quality. Current Research Team projects include the Massachusetts Health Insurance Survey, the Massachusetts Employer Survey, ongoing analyses of avoidable hospital use measures such as readmissions and revisits, and exploration of methods to appropriately account for socioeconomic factors in reporting. The work of the analyst will draw mostly upon CHIA’s data assets, such as the household and employer surveys, Case Mix and All-Payer Claims Databases, but will also include other relevant data sources.
This position will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days. The full time salary range for this position is $58,401.20 - $78,762.58 annually.
Specifically, the Research Analyst will:
Preferred Qualifications:
Minimum Entrance Requirements:
Applicants must have at least (A) three years of full-time, or equivalent part-time, professional experience in business administration, health care planning or administration, public health policy or administration, human services policy analysis or administration or economics, the major duties of which include financial analysis of costs, expenses and revenue and/or the development, implementation and monitoring of financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.
Substitutions:

I. A Bachelor's degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for a maximum of two years of the required experience.*
II. A Graduate degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for the required experience.
Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
BARGAINING UNIT: 06 NAGE, Reimbursement Systems Analyst II
CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.
In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","https://www.indeed.com/rc/clk?jk=56979ae998a0aec0&fccid=7465094da85cc688&vjs=3","data+analyst+R"
"Data Analyst","WordStream","WordStream is looking for an experienced Data Analyst with an affinity for translating analytics findings into business insights to tell a story, answer specific business questions and influence decisions. The ideal candidate for this position must understand the full life-cycle of our customers and their associated data and outline critical information for each Product Manager. You’ll build dashboards to track KPIs that are focused on moving the business as well as our customer’s engagement and adoption of WordStream Advisor.
Requirements
A Little About the Job:
A Little About You:
Benefits
Benefits:
A little about WordStream and our market space...
WordStream is a SaaS company and the preeminent thought leader in the world of Pay-Per-Click (PPC) marketing. We develop online advertising software and provide managed services to help small businesses and agencies grow through paid search and paid social.
Founded in 2007, WordStream has evolved from a simple keyword tool into the premier solution for businesses using Google AdWords, Facebook Advertising, or Bing Ads. Our cloud-based software is constantly evolving to meet the changing needs of our customers, and the results speak for themselves: more web traffic, higher-quality leads, and increased profits, every day.
We offer a high-energy, innovative work environment where individual contributions are valued and rewarded. WordStream is committed to building a culturally diverse organization and encourages, women, minorities, individuals with disabilities, and veterans to apply. Our offices, located in the Prudential Mall, are sleek and modern; our open workspace lends itself to cross-departmental collaboration and industry-shaping innovation.
WordStream is building a world-class product and an enviable workplace culture. We reward our team members with a positive environment, competitive pay, great benefits, and ample opportunities for career advancement.
WordStream is a proud equal opportunity employer. We are a drug free, EEO employer committed to a diverse workforce. We will consider all qualified candidates regardless of race, color, national origin, sex, age, marital status, personal appearance, sexual orientation, gender identity, family responsibilities, disability, education, political affiliation or veteran status.","https://www.indeed.com/rc/clk?jk=0f65bdbaaca073ea&fccid=0dfbc23e8323cde2&vjs=3","data+analyst+R"
"Senior Data Analyst","Hopjump","","https://www.indeed.com/rc/clk?jk=38b634d10d8fea0d&fccid=30c994b6c2f39768&vjs=3","data+analyst+R"
"Data Analyst","The Boston Consulting Group","Basic Job Requirements
Key Competencies
Company Information
Non-discrimination Statement","https://www.indeed.com/rc/clk?jk=f6f9c09620a36883&fccid=b95f9eb47968fa13&vjs=3","data+analyst+R"
"RWE Data Analyst","Sanofi","JOB SUMMARY:
The Real World Data and Analytics position integrates data management and analytics skills with computational background to significantly impact the delivery of the RWE&CO projects. The incumbent will support the development and maintenance of applications used for design, analysis, and reporting purposes and he/she will secure the maintenance of observational data obtained via primary data collection or license of secondary data sources, as well as de-identified clinical trial data.
JOB DUTIES AND RESPONSIBILITIES:
A RWE Data Analyst will collaborate with RWE Investigators and Analytics on the analysis and interpretation of specific epidemiological/outcomes research studies where the RWE DA will have responsibilities across data management, statistical input, and execution of analysis for specific epidemiological/outcomes research studies. He/She will need to be able to work independently on these efforts and work with other Analytics team members to provide rapid, thorough and creative data and analytics solutions.
This role requires taking on a range of activities:
REQUIRED EXPERIENCE
Sanofi Inc. and its U.S. affiliates are Equal Opportunity and Affirmative Action employers committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race; color; creed; religion; national origin; age; ancestry; nationality; marital, domestic partnership or civil union status; sex, gender, gender identity or expression; affectional or sexual orientation; disability; veteran or military status or liability for military status; domestic violence victim status; atypical cellular or blood trait; genetic information (including the refusal to submit to genetic testing) or any other characteristic protected by law.
#GD-SA
#LI-SA
At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.","https://www.indeed.com/rc/clk?jk=c746ae164c11e740&fccid=5d3ed74ca4598964&vjs=3","data+analyst+R"
"Analyst, Hockey Operations - Boston Bruins (Full Time)","Delaware North","The Boston Bruins Hockey Operations department is accepting applications for an experienced data analyst. This position reports to our Director of Hockey Analytics, and will assist in the evaluation of data relating to all areas of hockey operations, including in-game strategy, player valuation and acquisition, and roster composition/utilization.
Delaware North Companies, Incorporated and its subsidiaries consider applicants for all positions without regard to race, color, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, or any other legally protected status. Delaware North is an equal opportunity employer.
To be considered for this role, please submit responses to the below questions and attach as a cover letter to your application.","https://www.indeed.com/rc/clk?jk=1299f85cf34b3a52&fccid=fd2507195d2393e1&vjs=3","data+analyst+R"
"Healthcare Data Analyst","Precision Health AI","Precision Health AI (PH.AI) is developing the leading artificial intelligence (AI) platform for oncology built on deep clinical oncology data to enable the practice of precision medicine for better cancer patient care and to accelerate cancer-related drug development, trials, and real world evidence for the benefit of patients, oncologists, and the cancer care ecosystem. To learn more, visit www.precisionhealth.ai
As a healthcare technology company, PH.AI’s AI platform is trained specifically for oncology, leverages proprietary and unique data sources, and integrates seamlessly into the existing workflows of healthcare manufacturers, providers, and payers, with the goal of improving oncology outcomes. With the aid of its industry-leading AI platform, PH.AI analyzes large sets of cancer patient data from a variety of settings including observational studies, clinical trials, and real world evidence such as genomic sequencing data, EMR/EHR, and claims, to identify which treatments work for which cancer patients, why, in what context, and at what cost, with the goal of developing tailored treatment regimens for each patient. PHAI is unlocking the promise of precision medicine, one cancer patient at a time.","https://www.indeed.com/rc/clk?jk=4a8d4bd314912a12&fccid=5e3c6e67fc27d1ed&vjs=3","data+analyst+R"
"Data Research Analyst - Temp.","Skillsoft","Title: Data Research Analyst - Temp
Are you passionate about learning and intellectually curious? Do you thrive in a fast paced, innovative work environment where team members hold themselves and others accountable? Are you energized by trying new things, have an agile mindset and enjoy making an impact? Is working for a purpose driven organization important to you? If the answers to these questions are a resounding YES, then read on!
Skillsoft is the global leader in eLearning. We help businesses solve their biggest challenge – attracting, motivating and retaining world class talent. Our team is recognized for cutting edge digital learning and human capital management solutions. Trusted by the world's leading organizations, including 65% of the Fortune 500, we train more professionals than any other company in the world. Our 100,000+ courses, videos and books are accessed over 130 million times every month, in 160 countries and 29 languages. At Skillsoft, we believe that knowledge is the fuel for innovation and innovation is the fuel for business growth.
We are all about “Making Work Matter.” With over 2200 employees around the world, we are always looking for amazing talent!
Will you be next to join our team?
Reporting to the Sr Manager, Product Management, the Data Research Analyst will perform focused, deep analyses and present data-informed solutions to product and engineering stakeholders seeking answers to complex problems.
The Data Research Analyst will act as a trusted business partner, providing strategic insight and advice based on sound statistical analysis and data research.
Opportunity Highlights:
Skills & Qualifications:
Attributes:
Thank you for taking the time to learn more about us.
If this opportunity intrigues you, we'd love for you to apply!
NOTE TO EMPLOYMENT AGENCIES: We value the partnerships we have built with our preferred vendors. Skillsoft does not accept unsolicited resumes from employment agencies. All resumes submitted by employment agencies directly to any Skillsoft employee or hiring manager in any form without a signed Skillsoft Employment Agency Agreement on file and search engagement for that position will be deemed unsolicited in nature. No fee will be paid in the event the candidate is subsequently hired as a result of the referral or through other means.","https://www.indeed.com/rc/clk?jk=c088184a2ebfc0d4&fccid=caca4f6036a885df&vjs=3","data+analyst+R"
"Data Analyst (Growth)","Insurify","Do you want to be part of Boston’s hottest up and coming startup? Insurify is one of the top 17 startups to watch in 2017 and one of the fastest growing MIT FinTech startups. We are changing the insurance shopping experience with artificial intelligence and superior design. Since we launched in January 2016, millions of drivers have used the platform to save money. We foster a positive work-life balance environment with perks like unlimited vacation time! Insurify is an equal opportunity employer.","https://www.indeed.com/rc/clk?jk=b1666cd9ee57a157&fccid=3e263cf17592f3f5&vjs=3","data+analyst+R"
"Data Analyst","T1D Exchange","T1D Exchange is an innovative nonprofit organization dedicated to accelerating therapies and improving care for people with type 1 diabetes. We are rapidly expanding and have an exciting opportunity for a Data Analyst.
The Data Analyst will work closely with the Patient Centered Research, Quality Improvement, Biobank Teams, sponsors and internal stakeholders to design and implement statistical analyses for qualitative, survey, and interventional research, as well as to help establish best practices for data management and data analytic strategies.
Develop and present statistical analysis and research plans to internal team and external stakeholders. Responsible for preparation of study documents (e.g., statistical analytic plans), reports and presentations (e.g., abstracts, manuscripts, scientific posters) to summarize research findings.
Mentor data analyst coordinator and consultants in analyzing data to discover trends across studies, improve data collection approaches to strengthen and optimize research output, identify and address confounding study variables, strengthen and optimize output of research.
Roles and Responsibilities include:
Basic Qualifications:
This is an exceptional opportunity for a Data Analyst professional looking to make a clear and immediate impact. For consideration, please apply through our online application system.
More about our organization:
T1D Exchange is an innovative nonprofit organization dedicated to accelerating therapies and improving care for people with type 1 diabetes. T1D Exchange actively supports discovery and innovation—particularly at its earliest stages. At the same time, the organization asserts that evidence gathered in the “real world” is necessary to help bridge the gap between discovery in research settings and impact in people’s lives.
At the core of T1D Exchange research is a robust Registry of people living with type 1 diabetes, as well as cutting-edge research tools, methods, and programs to gather data and biological samples from people living with type 1 diabetes. The goal is to link patient samples, data, and insight to all stages of research and development, advancing the development of therapies and better care for everyone affected by type 1 diabetes.","https://www.indeed.com/rc/clk?jk=737cbd9fdec092b2&fccid=7422eadc3d43247f&vjs=3","data+analyst+R"
"2019 Spring Engineering Analyst","REsurety","","https://www.indeed.com/rc/clk?jk=97a074233c4024f1&fccid=312941d745eb270b&vjs=3","data+analyst+R"
"B2B Insights Analyst","Wayfair","","https://www.indeed.com/rc/clk?jk=0b691e44c7d0248d&fccid=95485c6456ed2114&vjs=3","data+analyst+R"
"Entry-Level Business Data Analyst","University Recruiting","","https://www.indeed.com/rc/clk?jk=292232e00020b2e2&fccid=2867922f91ad32da&vjs=3","data+analyst"
"Junior Data Analyst","Dobility, Inc. (SurveyCTO)","Dobility’s mission is to provide great technology to improve data collected by research, social, and public sector organizations. Although we are a small, lean, and early-stage social enterprise, our product, SurveyCTO, has already been used by thousands of teams in roughly 150 countries.
We are looking for an energetic and entrepreneurial individual to join our team and turn data collected from all parts of the company into insights that help drive decisions, improve our business, and achieve our social mission.
This position offers the opportunity to be Dobility’s full-time Junior Data Analyst and to play a key role in creating a data-first, continuous-learning culture at the company. You will design experiments to evaluate the effectiveness of different business and product ideas and build and maintain data systems that inform the work of our growth, product, and customer success teams. The successful candidate will turn data into information, information into insight, and insight into business decision recommendations.
Responsibilities:
This is a full-time position based in Cambridge, Massachusetts (or our Manchester, New Hampshire office). Particularly for those with longer commutes, flexible office and telecommuting schedules are possible.
About the organization:
Dobility, the company behind SurveyCTO, was founded by Dr. Christopher Robert, an early tech entrepreneur and CTO who left technology to live overseas, train in economics and public policy, then research and teach at Harvard’s Kennedy School of Government. His experience on the ground made him realize that the research and development sectors badly needed better technology to gather and manage data. Dobility’s mission is to help ensure that high-quality data is affordable, so that more decisions are based on good data (vs. bad data or no data).
Dobility differentiates itself in the market by providing unmatched reliability, affordability, and customer support. It is a fast-moving company with a motivated team that has spent time in the field to understand customers’ pain points first-hand.
About the product:
SurveyCTO is a survey and data-collection platform designed for the specific demands of doing research in developing countries and other challenging settings. It can be used online or offline, on web, tablet, or phone. Most often it’s used by surveyors in the field to perform guided interviews with survey respondents (“Computer Assisted Personal Interviews”). It protects against fraud by recording how long surveys take, audio recording when suspicious behavior is flagged, and employing statistical algorithms to look for anomalies in the data. It’s also an extraordinarily flexible platform that allows for advanced survey logic, pre-loading existing data into survey questions, and automatically merging incoming data into back-office applications like Excel.
SurveyCTO has been used to collect over three million survey submissions in roughly 150 countries by organizations such as the World Bank, Save the Children, Clinton Health Access Initiative, Innovations for Poverty Action, and many others. You can see other examples of organizations we work with on our website.
Requirements
Benefits
The salary range is $55,000 to $80,000 plus benefits packages, including health insurance and 401(k). The specifics will depend on the applicant’s level of prior experience.","https://www.indeed.com/rc/clk?jk=f6fffc059a157f3e&fccid=f83d42093d824947&vjs=3","data+analyst"
"Data Analyst","Forward Financing","This is a terrific opportunity for a highly self-motivated individual to join our team. At Forward Financing, our mission is to be the leading provider of financing solutions to under-served small businesses. As the 15th fastest growing company in US & #1 in Massachusetts (Inc 500), we are at the forefront of growth in the FinTech space. We are 100% dedicated to this vertical and to achieving our mission.
As a Data Analyst, you will play an important role in harnessing the Company’s data and analytics to provide valuable insight and analysis that will be used to assess the strategic direction of Forward Financing. You will report to the Director of Strategy, Finance & Analytics, and collaborate frequently with the Senior Data Analyst & the rest of the Strategy, Finance & Analytics team.
Forward Financing invests in our employees and their development. Your role in working on all strategic and financial initiatives will be critical to driving our mission forward.
In this role you will:
About You:
Requirements:
About Us:
Forward Financing is a Boston-based financial technology company that provides fast, flexible, and reliable working capital to small and medium-size businesses nationwide. By combining proprietary technology with a team of small business financing experts, Forward Financing delivers same day funding with the speed and simplicity business owners need to succeed and grow. With a simple online application, businesses can trust Forward Financing for approvals within minutes, funding within hours, and personalized support and service when they need it most.
Since 2012, Forward Financing has provided over $400m in funding to more than 10,000 small businesses. Consistently recognized as an industry leader, the company is A+ rated by the Better Business Bureau and receives top ratings across all major customer review platforms. In 2017 and 2018, Forward Financing was named by Inc. Magazine and the Boston Business Journal as one of the fastest growing companies in Massachusetts. Learn more at www.forwardfinancing.com
Compensation:
At Forward Financing, we believe that if our company succeeds, all of our employees succeed too. We offer a competitive compensation package for highly qualified candidates that are extremely motivated, have a positive attitude, and are able to ramp up quickly. We offer a comprehensive benefits package including medical, dental, vision and commuter benefits along with gym reimbursement, 401K, paid volunteering days and a matching gift program. We work in an open environment with a start-up vibe, conveniently located just steps away from South Station. You will have the opportunity to work with people that enjoy a fun, social office culture.","https://www.indeed.com/rc/clk?jk=2084f258a5946465&fccid=42ddeab8741527ee&vjs=3","data+analyst"
